invoice_id,branch,city,category,payment_method,date,unit_price,quantity,rating,profit_margin,total_price,year,month
31,WALM076,Huntsville,Fashion accessories,Credit card,2019-02-25,94.13,5.0,4.8,0.33,470.65,2019,febuary
32,WALM098,Mineral Wells,Sports and travel,Cash,2019-01-28,78.07,9.0,4.5,0.18,702.6299999999999,2019,january
33,WALM021,McAllen,Sports and travel,Cash,2019-10-01,83.78,8.0,5.1,0.48,670.24,2019,october
34,WALM096,Eagle Pass,Health and beauty,Credit card,2019-03-15,96.58,2.0,5.1,0.18,193.16,2019,march
35,WALM022,Mesquite,Food and beverages,Ewallet,2019-06-02,99.42,4.0,7.5,0.48,397.68,2019,june
36,WALM095,Big Spring,Sports and travel,Ewallet,2019-07-01,68.12,1.0,6.8,0.33,68.12,2019,july
37,WALM041,Mission,Sports and travel,Ewallet,2019-10-03,62.62,5.0,7.0,0.48,313.09999999999997,2019,october
38,WALM070,Hurst,Electronic accessories,Ewallet,2019-01-15,60.88,9.0,4.7,0.33,547.9200000000001,2019,january
39,WALM070,Hurst,Health and beauty,Ewallet,2019-03-23,54.92,8.0,7.6,0.33,439.36,2019,march
40,WALM030,Richardson,Home and lifestyle,Cash,2019-03-03,30.12,8.0,7.7,0.48,240.96,2019,march
41,WALM033,Pearland,Home and lifestyle,Ewallet,2019-01-17,86.72,1.0,7.9,0.48,86.72,2019,january
42,WALM088,Cleburne,Home and lifestyle,Cash,2019-02-02,56.11,2.0,6.3,0.33,112.22,2019,febuary
43,WALM079,La Porte,Sports and travel,Cash,2019-08-02,69.12,6.0,5.6,0.33,414.72,2019,august
44,WALM042,Bryan,Food and beverages,Cash,2019-04-03,98.7,8.0,7.6,0.48,789.6,2019,april
45,WALM036,Allen,Health and beauty,Cash,2019-03-16,15.37,2.0,7.2,0.48,30.74,2019,march
46,WALM056,Rowlett,Electronic accessories,Cash,2019-09-03,93.96,4.0,9.5,0.33,375.84,2019,september
47,WALM058,Port Arthur,Health and beauty,Credit card,2019-02-27,56.69,9.0,8.4,0.33,510.21,2019,febuary
48,WALM015,Grand Prairie,Food and beverages,Ewallet,2019-06-02,20.01,9.0,4.1,0.48,180.09,2019,june
49,WALM063,Georgetown,Electronic accessories,Credit card,2019-10-02,18.93,6.0,8.1,0.33,113.58,2019,october
50,WALM021,McAllen,Fashion accessories,Ewallet,2019-03-19,82.63,10.0,7.9,0.48,826.3,2019,march
51,WALM089,Southlake,Food and beverages,Cash,2019-03-02,91.4,7.0,9.5,0.33,639.8000000000001,2019,march
52,WALM093,Angleton,Food and beverages,Cash,2019-10-02,44.59,5.0,8.5,0.33,222.95000000000002,2019,october
53,WALM041,Mission,Fashion accessories,Ewallet,2019-03-22,17.87,4.0,6.5,0.48,71.48,2019,march
54,WALM045,Missouri City,Fashion accessories,Credit card,2019-01-25,15.43,1.0,6.1,0.48,15.43,2019,january
55,WALM005,Fort Worth,Home and lifestyle,Ewallet,2019-07-03,16.16,2.0,6.5,0.48,32.32,2019,july
56,WALM042,Bryan,Electronic accessories,Cash,2019-02-28,85.98,8.0,8.2,0.48,687.84,2019,febuary
57,WALM003,San Antonio,Home and lifestyle,Cash,2019-03-27,44.34,2.0,5.8,0.36,88.68,2019,march
58,WALM070,Hurst,Health and beauty,Ewallet,2019-07-02,89.6,8.0,6.6,0.33,716.8,2019,july
59,WALM066,Grapevine,Home and lifestyle,Cash,2019-01-20,72.35,10.0,5.4,0.33,723.5,2019,january
60,WALM031,Lewisville,Electronic accessories,Cash,2019-12-03,30.61,6.0,9.3,0.48,183.66,2019,december
61,WALM042,Bryan,Sports and travel,Credit card,2019-02-15,24.74,3.0,10.0,0.48,74.22,2019,febuary
62,WALM078,Del Rio,Home and lifestyle,Ewallet,2019-02-24,55.73,6.0,7.0,0.33,334.38,2019,febuary
63,WALM037,League City,Sports and travel,Ewallet,2019-03-02,55.07,9.0,10.0,0.48,495.63,2019,march
64,WALM069,Rockwall,Sports and travel,Credit card,2019-06-03,15.81,10.0,8.6,0.33,158.1,2019,june
65,WALM087,Waxahachie,Health and beauty,Cash,2019-02-14,75.74,4.0,7.6,0.33,302.96,2019,febuary
66,WALM042,Bryan,Health and beauty,Cash,2019-03-13,15.87,10.0,5.8,0.48,158.7,2019,march
67,WALM020,Killeen,Health and beauty,Ewallet,2019-10-02,33.47,2.0,6.7,0.48,66.94,2019,october
68,WALM029,Round Rock,Fashion accessories,Ewallet,2019-07-01,97.61,6.0,9.9,0.48,585.66,2019,july
69,WALM079,La Porte,Sports and travel,Cash,2019-01-24,78.77,10.0,6.4,0.33,787.6999999999999,2019,january
70,WALM035,San Angelo,Health and beauty,Cash,2019-02-02,18.33,1.0,4.3,0.48,18.33,2019,febuary
71,WALM007,Arlington,Food and beverages,Credit card,2019-06-01,89.48,10.0,9.6,0.48,894.8000000000001,2019,june
72,WALM017,McKinney,Fashion accessories,Cash,2019-11-02,62.12,10.0,5.9,0.48,621.1999999999999,2019,november
73,WALM096,Eagle Pass,Food and beverages,Ewallet,2019-05-03,48.52,3.0,4.0,0.18,145.56,2019,may
74,WALM083,Farmers Branch,Electronic accessories,Cash,2019-09-03,75.91,6.0,8.7,0.33,455.46,2019,september
75,WALM072,Lancaster,Home and lifestyle,Ewallet,2019-01-22,74.67,9.0,9.4,0.33,672.03,2019,january
76,WALM003,San Antonio,Electronic accessories,Credit card,2019-01-13,41.65,10.0,5.4,0.48,416.5,2019,january
77,WALM058,Port Arthur,Fashion accessories,Credit card,2019-09-01,49.04,9.0,8.6,0.33,441.36,2019,september
78,WALM094,Alamo,Fashion accessories,Credit card,2019-12-01,20.01,9.0,5.7,0.33,180.09,2019,december
79,WALM063,Georgetown,Food and beverages,Ewallet,2019-05-03,78.31,10.0,6.6,0.33,783.1,2019,may
80,WALM071,Lufkin,Health and beauty,Cash,2019-01-22,20.38,5.0,6.0,0.33,101.89999999999999,2019,january
81,WALM061,Cedar Park,Health and beauty,Credit card,2019-01-21,99.19,6.0,5.5,0.33,595.14,2019,january
82,WALM090,Brownwood,Food and beverages,Ewallet,2019-01-26,96.68,3.0,6.4,0.33,290.04,2019,january
83,WALM061,Cedar Park,Food and beverages,Ewallet,2019-01-23,19.25,8.0,6.6,0.33,154.0,2019,january
84,WALM041,Mission,Food and beverages,Ewallet,2019-02-23,80.36,4.0,8.3,0.48,321.44,2019,febuary
85,WALM097,Alice,Sports and travel,Cash,2019-09-03,48.91,5.0,6.6,0.18,244.54999999999998,2019,september
86,WALM043,Baytown,Sports and travel,Ewallet,2019-05-03,83.06,7.0,4.0,0.48,581.4200000000001,2019,may
87,WALM042,Bryan,Fashion accessories,Cash,2019-03-25,76.52,5.0,9.9,0.48,382.59999999999997,2019,march
88,WALM046,Temple,Food and beverages,Credit card,2019-03-27,49.38,7.0,7.3,0.48,345.66,2019,march
89,WALM011,Lubbock,Sports and travel,Cash,2019-02-01,42.47,1.0,5.7,0.48,42.47,2019,febuary
90,WALM064,Bedford,Health and beauty,Cash,2019-02-27,76.99,6.0,6.1,0.33,461.93999999999994,2019,febuary
91,WALM095,Big Spring,Home and lifestyle,Cash,2019-01-23,47.38,4.0,7.1,0.33,189.52,2019,january
92,WALM049,North Richland Hills,Sports and travel,Ewallet,2019-01-26,44.86,10.0,8.2,0.48,448.6,2019,january
93,WALM040,Edinburg,Sports and travel,Ewallet,2019-10-01,21.98,7.0,5.1,0.48,153.86,2019,october
94,WALM065,Texas City,Health and beauty,Credit card,2019-12-03,64.36,9.0,8.6,0.33,579.24,2019,december
95,WALM075,San Marcos,Health and beauty,Credit card,2019-06-02,89.75,1.0,6.6,0.33,89.75,2019,june
96,WALM034,College Station,Electronic accessories,Ewallet,2019-08-03,97.16,1.0,7.2,0.48,97.16,2019,august
97,WALM014,Amarillo,Health and beauty,Ewallet,2019-03-29,87.87,10.0,5.1,0.48,878.7,2019,march
98,WALM096,Eagle Pass,Electronic accessories,Cash,2019-09-02,12.45,6.0,4.1,0.18,74.69999999999999,2019,september
99,WALM004,Austin,Food and beverages,Ewallet,2019-03-23,52.75,3.0,9.3,0.48,158.25,2019,march
100,WALM011,Lubbock,Home and lifestyle,Cash,2019-05-03,82.7,6.0,7.4,0.48,496.20000000000005,2019,may
101,WALM075,San Marcos,Fashion accessories,Cash,2019-03-26,48.71,1.0,4.1,0.33,48.71,2019,march
102,WALM057,Euless,Fashion accessories,Cash,2019-01-03,78.55,9.0,7.2,0.33,706.9499999999999,2019,january
103,WALM023,Midland,Electronic accessories,Cash,2019-01-02,23.07,9.0,4.9,0.48,207.63,2019,january
104,WALM012,Garland,Food and beverages,Cash,2019-03-28,58.26,6.0,9.9,0.48,349.56,2019,march
105,WALM078,Del Rio,Health and beauty,Cash,2019-03-19,30.35,7.0,8.0,0.33,212.45000000000002,2019,march
106,WALM055,Waxahachie,Electronic accessories,Ewallet,2019-12-01,88.67,10.0,7.3,0.33,886.7,2019,december
107,WALM038,Sugar Land,Fashion accessories,Credit card,2019-05-01,27.38,6.0,7.9,0.48,164.28,2019,may
108,WALM049,North Richland Hills,Sports and travel,Cash,2019-03-22,62.13,6.0,7.4,0.48,372.78000000000003,2019,march
109,WALM044,Pharr,Food and beverages,Cash,2019-03-24,33.98,9.0,4.2,0.48,305.82,2019,march
110,WALM056,Rowlett,Electronic accessories,Cash,2019-03-03,81.97,10.0,9.2,0.33,819.7,2019,march
111,WALM007,Arlington,Sports and travel,Ewallet,2019-05-02,16.49,2.0,4.6,0.48,32.98,2019,may
112,WALM025,Waco,Health and beauty,Credit card,2019-05-02,98.21,3.0,7.8,0.48,294.63,2019,may
113,WALM005,Fort Worth,Fashion accessories,Cash,2019-02-15,72.84,7.0,8.4,0.48,509.88,2019,febuary
114,WALM024,Carrollton,Home and lifestyle,Ewallet,2019-01-19,58.07,9.0,4.3,0.48,522.63,2019,january
115,WALM003,San Antonio,Home and lifestyle,Credit card,2019-01-02,80.79,9.0,9.5,0.36,727.11,2019,january
116,WALM087,Waxahachie,Fashion accessories,Credit card,2019-02-03,27.02,3.0,7.1,0.33,81.06,2019,febuary
117,WALM040,Edinburg,Fashion accessories,Ewallet,2019-05-03,21.94,5.0,5.3,0.48,109.7,2019,may
118,WALM071,Lufkin,Fashion accessories,Ewallet,2019-01-16,51.36,1.0,5.2,0.33,51.36,2019,january
119,WALM027,Abilene,Food and beverages,Ewallet,2019-02-02,10.96,10.0,6.0,0.48,109.60000000000001,2019,febuary
120,WALM071,Lufkin,Home and lifestyle,Ewallet,2019-01-20,53.44,2.0,4.1,0.33,106.88,2019,january
121,WALM014,Amarillo,Electronic accessories,Credit card,2019-02-14,99.56,8.0,5.2,0.48,796.48,2019,febuary
122,WALM069,Rockwall,Sports and travel,Credit card,2019-12-01,57.12,7.0,6.5,0.33,399.84,2019,december
123,WALM085,Kerrville,Sports and travel,Credit card,2019-09-03,99.96,9.0,4.2,0.33,899.64,2019,september
124,WALM061,Cedar Park,Home and lifestyle,Credit card,2019-03-13,63.91,8.0,4.6,0.33,511.28,2019,march
125,WALM088,Cleburne,Fashion accessories,Ewallet,2019-09-03,56.47,8.0,7.3,0.33,451.76,2019,september
126,WALM034,College Station,Home and lifestyle,Credit card,2019-10-03,93.69,7.0,4.5,0.48,655.8299999999999,2019,october
127,WALM016,Brownsville,Sports and travel,Cash,2019-01-27,32.25,5.0,9.0,0.48,161.25,2019,january
128,WALM044,Pharr,Fashion accessories,Credit card,2019-08-01,31.73,9.0,5.9,0.48,285.57,2019,august
129,WALM035,San Angelo,Food and beverages,Ewallet,2019-08-01,68.54,8.0,8.5,0.48,548.32,2019,august
130,WALM018,Frisco,Sports and travel,Ewallet,2019-08-02,90.28,9.0,7.2,0.48,812.52,2019,august
131,WALM022,Mesquite,Fashion accessories,Cash,2019-01-25,39.62,7.0,7.5,0.48,277.34,2019,january
132,WALM068,Burleson,Sports and travel,Cash,2019-06-03,92.13,6.0,8.3,0.33,552.78,2019,june
133,WALM055,Waxahachie,Sports and travel,Cash,2019-10-02,34.84,4.0,7.4,0.33,139.36,2019,october
134,WALM002,Dallas,Electronic accessories,Credit card,2019-02-17,87.45,6.0,8.8,0.36,524.7,2019,febuary
135,WALM062,Galveston,Health and beauty,Ewallet,2019-08-03,81.3,6.0,5.3,0.33,487.79999999999995,2019,august
136,WALM098,Mineral Wells,Fashion accessories,Cash,2019-02-18,90.22,3.0,6.2,0.18,270.65999999999997,2019,febuary
137,WALM027,Abilene,Electronic accessories,Credit card,2019-01-18,26.31,5.0,8.8,0.48,131.54999999999998,2019,january
138,WALM093,Angleton,Home and lifestyle,Cash,2019-02-18,34.42,6.0,9.8,0.33,206.52,2019,febuary
139,WALM029,Round Rock,Sports and travel,Cash,2019-02-16,51.91,10.0,8.2,0.48,519.0999999999999,2019,febuary
140,WALM016,Brownsville,Sports and travel,Ewallet,2019-03-16,72.5,8.0,9.2,0.48,580.0,2019,march
141,WALM023,Midland,Sports and travel,Credit card,2019-01-23,89.8,10.0,5.4,0.48,898.0,2019,january
142,WALM012,Garland,Health and beauty,Cash,2019-01-25,90.5,10.0,8.1,0.48,905.0,2019,january
143,WALM052,Mansfield,Health and beauty,Cash,2019-05-02,68.6,10.0,9.1,0.57,686.0,2019,may
144,WALM097,Alice,Food and beverages,Credit card,2019-02-22,30.41,1.0,8.4,0.18,30.41,2019,febuary
145,WALM045,Missouri City,Home and lifestyle,Credit card,2019-01-21,77.95,6.0,8.0,0.48,467.70000000000005,2019,january
146,WALM047,Flower Mound,Health and beauty,Credit card,2019-08-03,46.26,6.0,9.5,0.48,277.56,2019,august
147,WALM026,Denton,Fashion accessories,Ewallet,2019-10-02,30.14,10.0,9.2,0.48,301.4,2019,october
148,WALM054,Sherman,Health and beauty,Credit card,2019-03-19,66.14,4.0,5.6,0.21,264.56,2019,march
149,WALM049,North Richland Hills,Home and lifestyle,Credit card,2019-06-03,71.86,8.0,6.2,0.48,574.88,2019,june
150,WALM065,Texas City,Health and beauty,Credit card,2019-03-27,32.46,8.0,4.9,0.33,259.68,2019,march
151,WALM016,Brownsville,Fashion accessories,Credit card,2019-03-23,91.54,4.0,4.8,0.48,366.16,2019,march
152,WALM070,Hurst,Sports and travel,Credit card,2019-11-03,34.56,7.0,7.3,0.33,241.92000000000002,2019,november
153,WALM099,Weatherford,Fashion accessories,Credit card,2019-01-29,83.24,9.0,7.4,0.18,749.16,2019,january
154,WALM071,Lufkin,Food and beverages,Ewallet,2019-07-02,16.48,6.0,9.9,0.33,98.88,2019,july
155,WALM078,Del Rio,Sports and travel,Cash,2019-01-28,80.97,8.0,9.3,0.33,647.76,2019,january
156,WALM074,Weslaco,Food and beverages,Cash,2019-02-20,92.29,5.0,9.0,0.33,461.45000000000005,2019,febuary
157,WALM042,Bryan,Electronic accessories,Cash,2019-04-01,72.17,1.0,6.1,0.48,72.17,2019,april
158,WALM013,Irving,Home and lifestyle,Ewallet,2019-07-03,50.28,5.0,9.7,0.48,251.4,2019,july
159,WALM100,Canyon,Health and beauty,Ewallet,2019-03-30,97.22,9.0,6.0,0.18,874.98,2019,march
160,WALM094,Alamo,Sports and travel,Ewallet,2019-03-27,93.39,6.0,10.0,0.33,560.34,2019,march
161,WALM028,Odessa,Food and beverages,Credit card,2019-01-19,43.18,8.0,8.3,0.48,345.44,2019,january
162,WALM019,Pasadena,Sports and travel,Cash,2019-02-25,63.69,1.0,6.0,0.48,63.69,2019,febuary
163,WALM011,Lubbock,Food and beverages,Credit card,2019-03-13,45.79,7.0,7.0,0.48,320.53,2019,march
164,WALM084,Schertz,Sports and travel,Ewallet,2019-01-30,76.4,2.0,6.5,0.33,152.8,2019,january
165,WALM057,Euless,Food and beverages,Credit card,2019-02-20,39.9,10.0,5.9,0.33,399.0,2019,febuary
166,WALM088,Cleburne,Health and beauty,Ewallet,2019-02-25,42.57,8.0,5.6,0.33,340.56,2019,febuary
167,WALM061,Cedar Park,Home and lifestyle,Cash,2019-01-16,95.58,10.0,4.8,0.33,955.8,2019,january
168,WALM040,Edinburg,Fashion accessories,Credit card,2019-08-02,98.98,10.0,8.7,0.48,989.8000000000001,2019,august
169,WALM069,Rockwall,Food and beverages,Cash,2019-01-19,51.28,6.0,6.5,0.33,307.68,2019,january
170,WALM089,Southlake,Sports and travel,Credit card,2019-01-02,69.52,7.0,8.5,0.33,486.64,2019,january
171,WALM031,Lewisville,Health and beauty,Ewallet,2019-03-01,70.01,5.0,5.5,0.48,350.05,2019,march
172,WALM039,Longview,Food and beverages,Credit card,2019-01-26,80.05,5.0,9.4,0.48,400.25,2019,january
173,WALM039,Longview,Electronic accessories,Cash,2019-03-03,20.85,8.0,6.3,0.48,166.8,2019,march
174,WALM047,Flower Mound,Electronic accessories,Credit card,2019-01-19,52.89,6.0,9.8,0.48,317.34000000000003,2019,january
175,WALM071,Lufkin,Food and beverages,Ewallet,2019-01-18,19.79,8.0,8.7,0.33,158.32,2019,january
176,WALM060,DeSoto,Home and lifestyle,Ewallet,2019-03-21,33.84,9.0,8.8,0.33,304.56000000000006,2019,march
177,WALM073,Seguin,Food and beverages,Credit card,2019-03-03,22.17,8.0,9.6,0.33,177.36,2019,march
178,WALM059,Pflugerville,Fashion accessories,Credit card,2019-02-13,22.51,7.0,4.8,0.33,157.57000000000002,2019,febuary
179,WALM012,Garland,Food and beverages,Ewallet,2019-03-23,73.88,6.0,4.4,0.48,443.28,2019,march
180,WALM086,Rosenberg,Health and beauty,Ewallet,2019-01-28,86.8,3.0,9.9,0.33,260.4,2019,january
181,WALM073,Seguin,Fashion accessories,Cash,2019-09-02,64.26,7.0,5.7,0.33,449.82000000000005,2019,september
182,WALM028,Odessa,Food and beverages,Cash,2019-01-23,38.47,8.0,7.7,0.48,307.76,2019,january
183,WALM053,Conroe,Sports and travel,Ewallet,2019-03-23,15.5,10.0,8.0,0.57,155.0,2019,march
184,WALM024,Carrollton,Health and beauty,Ewallet,2019-01-25,34.31,8.0,5.7,0.48,274.48,2019,january
185,WALM097,Alice,Sports and travel,Credit card,2019-04-03,12.34,7.0,6.7,0.18,86.38,2019,april
186,WALM072,Lancaster,Food and beverages,Ewallet,2019-05-03,18.08,3.0,8.0,0.33,54.239999999999995,2019,may
187,WALM023,Midland,Home and lifestyle,Ewallet,2019-03-03,94.49,8.0,7.5,0.48,755.92,2019,march
188,WALM038,Sugar Land,Home and lifestyle,Cash,2019-08-02,46.47,4.0,7.0,0.48,185.88,2019,august
189,WALM078,Del Rio,Home and lifestyle,Ewallet,2019-10-02,74.07,1.0,9.9,0.33,74.07,2019,october
190,WALM084,Schertz,Home and lifestyle,Credit card,2019-01-28,69.81,4.0,5.9,0.33,279.24,2019,january
191,WALM059,Pflugerville,Home and lifestyle,Credit card,2019-11-02,77.04,3.0,7.2,0.33,231.12,2019,november
192,WALM062,Galveston,Fashion accessories,Ewallet,2019-01-15,73.52,2.0,4.6,0.33,147.04,2019,january
193,WALM090,Brownwood,Food and beverages,Cash,2019-03-16,87.8,9.0,9.2,0.33,790.1999999999999,2019,march
194,WALM015,Grand Prairie,Home and lifestyle,Ewallet,2019-01-26,25.55,4.0,5.7,0.48,102.2,2019,january
195,WALM003,San Antonio,Electronic accessories,Credit card,2019-03-19,32.71,5.0,9.9,0.48,163.55,2019,march
196,WALM066,Grapevine,Fashion accessories,Cash,2019-01-13,74.29,1.0,5.0,0.33,74.29,2019,january
197,WALM079,La Porte,Health and beauty,Cash,2019-03-26,43.7,2.0,4.9,0.33,87.4,2019,march
198,WALM002,Dallas,Home and lifestyle,Ewallet,2019-03-23,25.29,1.0,6.1,0.36,25.29,2019,march
199,WALM094,Alamo,Health and beauty,Credit card,2019-12-03,41.5,4.0,8.2,0.33,166.0,2019,december
200,WALM047,Flower Mound,Food and beverages,Credit card,2019-02-17,71.39,5.0,5.5,0.48,356.95,2019,febuary
201,WALM100,Canyon,Sports and travel,Credit card,2019-01-29,19.15,6.0,6.8,0.18,114.89999999999999,2019,january
202,WALM005,Fort Worth,Electronic accessories,Cash,2019-03-15,57.49,4.0,6.6,0.48,229.96,2019,march
203,WALM086,Rosenberg,Electronic accessories,Cash,2019-01-14,61.41,7.0,9.8,0.33,429.87,2019,january
204,WALM029,Round Rock,Health and beauty,Ewallet,2019-06-02,25.9,10.0,8.7,0.48,259.0,2019,june
205,WALM065,Texas City,Home and lifestyle,Credit card,2019-02-15,17.77,5.0,5.4,0.33,88.85,2019,febuary
206,WALM085,Kerrville,Health and beauty,Ewallet,2019-03-01,23.03,9.0,7.9,0.33,207.27,2019,march
207,WALM034,College Station,Electronic accessories,Credit card,2019-04-01,66.65,9.0,9.7,0.48,599.85,2019,april
208,WALM055,Waxahachie,Home and lifestyle,Ewallet,2019-03-18,28.53,10.0,7.8,0.33,285.3,2019,march
209,WALM043,Baytown,Fashion accessories,Ewallet,2019-03-28,30.37,3.0,5.1,0.48,91.11,2019,march
210,WALM003,San Antonio,Electronic accessories,Credit card,2019-02-03,99.73,9.0,6.5,0.48,897.57,2019,febuary
211,WALM050,Victoria,Electronic accessories,Ewallet,2019-01-25,26.23,9.0,5.9,0.48,236.07,2019,january
212,WALM057,Euless,Food and beverages,Cash,2019-01-16,93.26,9.0,8.8,0.33,839.34,2019,january
213,WALM088,Cleburne,Home and lifestyle,Ewallet,2019-03-20,92.36,5.0,4.9,0.33,461.8,2019,march
214,WALM093,Angleton,Sports and travel,Credit card,2019-04-01,46.42,3.0,4.4,0.33,139.26,2019,april
215,WALM065,Texas City,Sports and travel,Cash,2019-11-03,29.61,7.0,6.5,0.33,207.26999999999998,2019,november
216,WALM072,Lancaster,Home and lifestyle,Credit card,2019-03-22,18.28,1.0,8.3,0.33,18.28,2019,march
217,WALM038,Sugar Land,Sports and travel,Cash,2019-03-24,24.77,5.0,8.5,0.48,123.85,2019,march
218,WALM081,Friendswood,Electronic accessories,Cash,2019-02-21,94.64,3.0,5.5,0.33,283.92,2019,febuary
219,WALM043,Baytown,Fashion accessories,Ewallet,2019-12-02,94.87,8.0,8.7,0.48,758.96,2019,december
220,WALM044,Pharr,Food and beverages,Credit card,2019-10-03,57.34,3.0,7.9,0.48,172.02,2019,october
221,WALM002,Dallas,Electronic accessories,Ewallet,2019-01-31,45.35,6.0,6.1,0.36,272.1,2019,january
222,WALM056,Rowlett,Food and beverages,Ewallet,2019-06-03,62.08,7.0,5.4,0.33,434.56,2019,june
223,WALM020,Killeen,Electronic accessories,Cash,2019-02-17,11.81,5.0,9.4,0.48,59.050000000000004,2019,febuary
224,WALM026,Denton,Fashion accessories,Cash,2019-02-21,12.54,1.0,8.2,0.48,12.54,2019,febuary
225,WALM003,San Antonio,Food and beverages,Cash,2019-03-20,43.25,2.0,6.2,0.48,86.5,2019,march
226,WALM067,Haltom City,Sports and travel,Credit card,2019-11-01,87.16,2.0,9.7,0.33,174.32,2019,november
227,WALM059,Pflugerville,Health and beauty,Ewallet,2019-01-26,69.37,9.0,4.0,0.33,624.33,2019,january
228,WALM068,Burleson,Electronic accessories,Ewallet,2019-01-31,37.06,4.0,9.7,0.33,148.24,2019,january
229,WALM049,North Richland Hills,Electronic accessories,Cash,2019-02-26,90.7,6.0,5.3,0.48,544.2,2019,febuary
230,WALM087,Waxahachie,Home and lifestyle,Ewallet,2019-11-03,63.42,8.0,7.4,0.33,507.36,2019,november
231,WALM007,Arlington,Fashion accessories,Cash,2019-01-26,81.37,2.0,6.5,0.48,162.74,2019,january
232,WALM024,Carrollton,Electronic accessories,Credit card,2019-12-03,10.59,3.0,8.7,0.48,31.77,2019,december
233,WALM059,Pflugerville,Health and beauty,Cash,2019-11-02,84.09,9.0,8.0,0.33,756.8100000000001,2019,november
234,WALM045,Missouri City,Fashion accessories,Credit card,2019-02-21,73.82,4.0,6.7,0.48,295.28,2019,febuary
235,WALM069,Rockwall,Health and beauty,Ewallet,2019-09-03,51.94,10.0,6.5,0.33,519.4,2019,september
236,WALM084,Schertz,Sports and travel,Ewallet,2019-01-20,93.14,2.0,4.1,0.33,186.28,2019,january
237,WALM068,Burleson,Health and beauty,Credit card,2019-01-28,17.41,5.0,4.9,0.33,87.05,2019,january
238,WALM023,Midland,Fashion accessories,Credit card,2019-05-03,44.22,5.0,8.6,0.48,221.1,2019,may
